,D2002,D2003,D2004,D2005,D2006,D2007,D2008,D2009,D2010,D2011,D2012,D2013,D2014,D2015,D2016,D2017,D2018,D2019,D2020,D2021,D2022,D2023,D2024,D2025,D2026,D2027,D2028,D2029,D2030,D2031,age,voted
904,2,2,1,2,2,9,9,9,1,531,4,2,3,1,541,1,2,3,2,4,1,99,6,9,1101,121,2,999,999,4,60,True
905,1,2,2,2,2,9,9,9,1,931,4,2,2,99,999,9,9,9,1,1,99,99,1,9,1101,121,2,999,999,4,65,True
907,2,3,4,2,2,9,9,9,1,753,2,2,2,99,999,9,9,9,2,3,2,99,4,9,1101,121,2,999,999,4,32,True
908,2,7,1,1,1,9,9,9,1,263,1,1,3,1,422,1,2,3,9,4,2,99,1,9,1101,121,2,999,999,4,38,True
910,1,6,4,2,2,9,9,9,1,514,4,2,3,99,999,9,9,9,4,1,0,99,9,9,8300,121,7,999,999,4,33,True
912,1,3,1,2,2,9,9,9,1,814,4,2,2,8,999,9,9,9,9,5,3,99,2,9,1101,121,14,999,999,4,41,True
913,2,3,2,8,2,9,9,9,7,532,1,2,3,99,999,9,9,9,4,4,1,99,6,9,1000,121,8,999,999,4,75,True
915,1,2,1,2,2,9,9,9,1,931,2,2,2,8,999,9,9,9,9,6,2,99,1,9,1101,121,2,999,999,4,60,True
916,1,5,1,1,2,9,9,9,1,324,1,1,3,1,235,1,1,3,5,6,3,99,9,9,8300,121,11,999,999,2,45,True
917,1,3,4,2,2,9,9,9,5,931,2,2,2,99,999,9,9,9,9,6,0,99,9,9,8300,121,2,999,999,4,31,True
920,1,4,3,2,2,9,9,9,7,741,2,2,3,99,999,9,9,9,5,4,1,99,9,9,8300,121,9,999,999,4,66,True
921,2,3,1,2,2,9,9,9,8,999,9,9,9,6,999,9,9,9,4,3,1,99,9,9,8300,121,14,999,999,4,24,False
922,1,3,4,2,8,9,9,9,1,911,2,2,3,99,999,9,9,9,4,7,1,99,1,9,1000,121,11,999,999,2,34,True
924,1,4,1,1,2,9,9,9,1,752,2,2,2,8,999,9,9,9,4,4,2,99,1,9,1101,121,12,999,999,4,35,True
925,2,4,2,2,2,9,9,9,1,512,4,2,3,99,999,9,9,9,3,2,0,99,2,9,1101,121,1,999,999,4,79,True
926,2,4,4,2,2,9,9,9,1,412,1,2,3,99,999,9,9,9,9,2,0,99,9,9,8300,121,4,999,999,4,32,False
927,1,4,3,2,1,9,9,9,1,343,4,2,3,99,999,9,9,9,2,1,99,99,6,9,1000,121,8,999,999,4,68,True
928,2,1,3,2,2,9,9,9,1,513,1,2,3,99,999,9,9,9,1,6,5,99,6,9,1000,121,12,999,999,4,37,True
929,2,4,4,2,2,9,9,9,1,334,1,1,3,99,999,9,9,9,3,2,0,99,1,9,1101,121,3,999,999,4,30,False
930,2,1,1,2,2,9,9,9,8,999,9,9,9,1,611,9,2,1,3,6,3,99,6,9,1000,121,10,999,999,4,40,True
931,1,2,1,2,2,9,9,9,1,752,4,2,2,8,999,9,9,9,1,4,2,99,2,9,1101,121,4,999,999,2,50,True
932,2,2,2,2,2,9,9,9,7,999,9,2,9,99,999,9,9,9,9,2,0,99,2,9,1101,121,2,999,999,4,97,False
933,2,5,1,2,2,9,9,9,5,541,1,2,3,5,931,2,2,2,3,5,1,99,1,9,1101,121,8,999,999,4,31,True
934,1,3,2,2,8,9,9,9,7,818,2,2,2,99,999,9,9,9,4,1,99,99,9,9,8300,121,2,999,999,4,79,True
935,1,3,1,1,1,9,9,9,1,996,9,2,4,8,999,9,9,9,4,4,0,99,3,9,1101,121,8,999,999,4,47,True
936,2,3,1,2,2,9,9,9,7,334,1,2,3,7,143,1,2,3,9,5,2,99,1,9,1101,121,2,999,999,4,71,True
937,1,7,1,2,2,9,9,9,1,996,9,1,4,8,999,9,9,9,9,3,0,99,3,9,1101,121,4,999,999,4,59,True
938,2,4,1,2,2,9,9,9,7,999,9,2,9,7,932,2,2,2,4,2,0,99,3,9,1101,121,1,999,999,4,73,True
940,2,4,1,2,2,9,9,9,8,999,9,9,9,1,721,2,2,2,4,5,3,99,9,9,8300,121,2,999,999,4,33,True
941,2,3,1,2,2,9,9,9,8,999,9,9,9,5,931,2,2,2,1,4,2,99,5,9,1101,121,13,999,999,2,28,True
942,1,2,1,2,2,9,9,9,7,931,2,2,2,8,999,9,9,9,5,10,3,99,6,9,1000,121,12,999,999,4,52,True
944,2,2,2,2,8,9,9,9,1,512,4,2,3,99,999,9,9,9,1,1,0,99,3,9,1101,121,9,999,999,4,78,True
945,2,3,1,2,2,9,9,9,10,999,9,9,9,1,931,2,2,2,3,7,4,99,3,9,1101,121,2,999,999,4,48,True
946,2,2,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,1,3,1,99,2,9,1101,121,2,999,999,2,56,True
950,2,5,1,2,2,9,9,9,6,999,9,9,9,1,622,2,2,1,3,2,0,99,1,9,1101,121,2,999,999,4,35,True
952,1,5,4,2,2,9,9,9,1,522,1,2,3,99,999,9,9,9,9,4,0,99,1,9,1101,121,4,999,999,4,32,False
953,2,6,3,2,2,9,9,9,1,512,4,2,3,99,999,9,9,9,9,3,2,99,9,9,8300,121,2,999,999,4,31,True
954,2,1,1,2,2,9,9,9,10,999,9,9,9,7,512,1,2,3,2,6,1,99,3,9,1101,121,4,999,999,2,74,True
956,1,6,4,2,2,9,9,9,1,332,1,2,3,99,999,9,9,9,9,1,0,99,2,9,1101,121,4,999,999,4,33,True
958,2,7,1,2,2,9,9,9,1,235,1,1,3,1,334,1,1,3,5,2,97,99,4,9,1101,121,7,999,999,4,46,True
959,2,6,1,2,2,9,9,9,7,263,4,2,3,1,226,1,2,3,9,3,0,99,5,9,1101,121,2,999,999,4,69,True
960,1,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,4,2,99,2,9,1101,121,4,999,999,4,24,True
961,2,3,1,2,2,9,9,9,1,818,2,2,2,1,818,2,2,2,4,3,1,99,1,9,1101,121,2,999,999,4,50,True
962,1,4,1,2,2,9,9,9,1,522,1,2,3,1,334,1,2,3,9,3,0,99,9,9,8300,121,1,999,999,4,47,True
963,2,6,2,2,2,9,9,9,7,235,1,1,3,99,999,9,9,9,3,1,99,99,6,9,1101,121,1,999,999,4,66,True
964,1,4,4,2,2,9,9,9,1,522,1,2,3,99,999,9,9,9,9,4,2,99,1,9,1101,121,1,999,999,4,26,False
965,2,3,1,2,1,9,9,9,8,999,9,9,9,1,832,2,2,3,4,5,3,99,5,9,1000,121,12,999,999,4,42,True
966,1,6,1,1,1,9,9,9,1,996,9,2,4,1,911,2,1,3,9,3,1,99,3,9,1101,121,3,999,999,4,36,True
967,2,1,1,2,2,9,9,9,5,911,4,2,3,1,999,9,2,9,1,3,0,99,3,9,1101,121,4,999,999,2,61,True
968,2,2,3,2,1,9,9,9,8,999,9,9,9,99,999,9,9,9,4,10,6,99,1,9,1101,121,2,999,999,4,66,True
969,2,2,1,2,2,9,9,9,1,911,2,2,3,1,931,2,2,2,1,4,0,99,4,9,1101,121,7,999,999,4,50,True
971,2,6,2,2,2,9,9,9,7,221,4,2,3,99,999,9,9,9,1,1,99,99,2,9,1101,121,12,999,999,4,69,True
973,2,2,1,2,2,9,9,9,8,999,9,9,9,1,833,4,2,3,9,3,0,99,5,9,1000,121,2,999,999,4,58,True
975,1,4,4,2,2,9,9,9,1,522,1,2,3,99,999,9,9,9,9,5,3,99,9,9,8300,121,1,999,999,4,27,True
976,1,6,1,2,2,9,9,9,1,522,4,2,3,1,334,1,2,3,9,4,0,99,1,9,1101,121,1,999,999,4,58,True
977,2,2,2,2,2,9,9,9,1,143,1,1,3,99,999,9,9,9,3,6,2,99,6,9,1000,121,10,999,999,4,62,True
978,2,8,1,2,2,9,9,9,1,431,4,2,3,1,999,4,2,9,9,4,1,99,5,9,1101,121,4,999,999,4,67,True
979,2,2,1,2,2,9,9,9,7,999,9,2,9,7,721,4,2,2,9,4,0,99,7,9,9997,121,12,999,999,4,71,True
980,2,2,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,1,4,2,99,4,9,1101,121,13,999,999,2,41,True
982,2,1,2,2,2,9,9,9,7,999,9,2,9,99,999,9,9,9,1,6,2,99,4,9,1101,121,14,999,999,4,76,True
983,1,4,1,2,2,9,9,9,1,833,2,2,3,8,999,9,9,9,9,4,2,99,1,9,1101,121,2,999,999,4,45,True
984,2,4,1,2,2,9,9,9,1,514,4,2,3,5,962,2,2,3,1,3,1,99,3,9,1101,121,12,999,999,4,56,False
985,2,2,1,2,2,9,9,9,8,999,9,9,9,1,931,2,2,2,3,4,2,99,1,9,1101,121,2,999,999,4,46,True
989,2,4,1,2,2,9,9,9,1,334,1,2,3,1,912,2,1,3,9,5,3,99,1,9,1101,121,2,999,999,4,32,True
990,2,4,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,3,7,4,99,1,9,1101,121,2,999,999,4,29,True
991,1,7,3,1,2,9,9,9,1,235,1,2,3,99,999,9,9,9,5,1,99,99,2,9,1101,121,2,999,999,4,64,True
992,2,4,4,2,2,9,9,9,8,522,1,9,3,99,999,9,9,9,3,5,1,99,4,9,1101,121,8,999,999,4,47,True
993,1,1,1,1,2,9,9,9,1,962,2,1,3,8,999,9,9,9,2,8,5,99,6,9,1000,121,2,999,999,2,60,True
994,2,3,3,2,2,9,9,9,1,514,1,2,3,99,999,9,9,9,2,1,99,99,4,9,1101,121,2,999,999,4,49,True
995,1,2,1,2,2,9,9,9,1,522,4,2,3,1,334,1,1,3,4,4,2,99,2,9,1101,121,11,999,999,2,39,True
997,2,4,1,2,2,9,9,9,1,334,1,2,3,1,334,1,2,3,9,5,3,99,2,9,1101,121,1,999,999,4,45,True
998,2,3,1,2,2,9,9,9,1,531,4,2,3,1,541,1,1,3,5,4,2,99,2,9,1000,121,11,999,999,2,26,False
999,1,4,4,2,2,9,9,9,1,752,4,2,2,99,999,9,9,9,5,2,0,99,1,9,1101,121,2,999,999,4,39,True
1000,2,2,2,2,2,9,9,9,7,911,4,2,3,99,999,9,9,9,9,2,0,99,6,9,1000,121,2,999,999,4,44,True
1001,1,1,2,2,2,9,9,9,1,961,4,2,3,99,999,9,9,9,1,1,99,99,2,9,1101,121,2,999,999,4,74,True
1002,2,2,2,2,2,9,9,9,7,216,4,2,3,99,999,9,9,9,9,1,99,99,3,9,1101,121,2,999,999,4,81,False
1003,1,4,1,2,1,9,9,9,1,723,4,2,2,1,911,2,2,3,4,5,3,99,6,9,1000,121,8,999,999,4,44,True
1004,2,2,3,2,2,9,9,9,7,911,2,2,3,99,999,9,9,9,1,2,0,99,1,9,1101,121,6,999,999,4,82,False
1005,1,3,1,2,2,9,9,9,1,833,2,2,3,1,334,1,2,3,3,4,1,99,9,9,8300,121,1,999,999,4,46,True
1006,1,4,4,2,2,9,9,9,1,334,1,1,3,99,999,9,9,9,5,4,0,99,3,9,1101,121,1,999,999,4,33,True
1007,1,4,1,2,2,9,9,9,1,142,4,2,3,8,999,9,9,9,4,3,1,99,9,9,8300,121,10,999,999,4,43,True
1009,2,1,1,2,2,9,9,9,8,999,9,9,9,1,522,4,2,3,1,9,3,99,6,9,1000,121,13,999,999,2,68,True
1010,2,2,1,2,2,9,9,9,8,999,9,9,9,1,741,2,2,3,1,7,3,99,6,9,1101,121,8,999,999,4,50,True
1011,2,5,1,2,2,9,9,9,1,522,1,2,3,1,833,2,2,3,9,3,1,99,1,9,1000,121,2,999,999,4,28,True
1012,2,3,1,2,2,9,9,9,1,541,1,1,3,1,832,2,2,3,4,2,0,99,1,9,1101,121,2,999,999,4,70,True
1016,1,2,3,2,2,9,9,9,5,521,1,2,3,99,999,9,9,9,2,2,0,99,1,9,1101,121,2,999,999,4,62,True
1018,1,3,4,2,2,9,9,9,10,999,9,9,9,99,999,9,9,9,9,3,0,99,1,9,1101,121,14,999,999,4,32,True
1019,2,1,1,2,2,9,9,9,8,999,9,9,9,7,933,2,2,9,1,7,3,99,1,9,1101,121,9,999,999,4,79,True
1021,2,4,2,2,2,9,9,9,7,541,4,2,3,99,999,9,9,9,4,4,0,99,2,9,1101,121,2,999,999,4,75,True
1022,1,4,4,2,2,9,9,9,1,522,1,2,3,99,999,9,9,9,3,1,99,99,2,9,1101,121,11,999,999,2,28,False
1023,2,4,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,6,2,99,5,9,1000,121,2,999,999,4,24,False
1024,1,6,1,2,2,9,9,9,1,512,4,2,3,1,911,2,2,3,5,2,0,99,1,9,1101,121,6,999,999,4,36,True
1025,2,2,1,2,2,9,9,9,8,999,9,9,9,8,999,9,9,9,1,3,0,99,5,9,1101,121,8,999,999,4,71,True
1026,1,3,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,1,3,1,99,6,9,9600,121,2,999,999,4,24,False
1028,1,4,1,2,2,9,9,9,1,996,9,2,4,8,999,9,9,9,3,6,2,99,9,9,8300,121,2,999,999,4,46,True
1030,1,4,1,2,2,9,9,9,1,522,1,1,3,1,522,1,2,3,3,5,2,99,1,9,1101,121,9,999,999,4,46,True
1031,1,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,5,2,99,1,9,1101,121,2,999,999,4,24,True
1033,1,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,3,4,0,99,4,9,1101,121,13,999,999,2,24,False
1034,1,3,1,2,2,9,9,9,1,713,2,2,2,1,912,2,1,3,4,3,1,99,9,9,8300,121,2,999,999,2,26,True
1036,1,4,1,2,2,9,9,9,1,541,1,2,3,8,999,9,9,9,9,4,0,99,2,9,1101,121,1,999,999,4,33,False
1037,1,3,1,2,2,9,9,9,5,751,2,2,2,1,911,4,2,3,2,3,1,99,1,9,1101,121,1,999,999,4,43,True
1038,1,2,1,2,2,9,9,9,1,514,4,2,3,8,999,9,9,9,2,3,0,99,3,9,1101,121,2,999,999,4,62,True
1039,1,5,4,2,2,9,9,9,1,512,1,2,3,99,999,9,9,9,1,1,99,99,9,9,8300,121,1,999,999,4,31,True
1040,2,7,4,2,2,9,9,9,1,996,9,2,4,99,999,9,9,9,9,4,0,99,1,9,1101,121,7,999,999,4,48,True
1041,2,2,1,2,2,9,9,9,8,999,9,9,9,1,911,2,2,3,1,3,1,99,1,9,1101,121,2,999,999,4,29,True
1042,2,6,3,1,2,9,9,9,1,235,1,2,3,99,999,9,9,9,3,3,1,99,4,9,1101,121,1,999,999,4,49,True
1043,2,6,1,1,2,9,9,9,1,235,1,1,3,1,931,4,2,2,3,5,1,99,2,9,1101,121,7,999,999,4,46,True
1044,1,2,1,2,2,9,9,9,1,931,4,2,2,1,911,4,2,3,1,2,0,99,1,9,1101,121,1,999,999,4,59,True
1046,2,4,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,3,0,99,3,9,1101,121,2,999,999,4,27,True
1047,2,1,1,2,2,9,9,9,7,911,2,2,3,7,818,2,2,2,3,3,1,99,2,9,1101,121,7,999,999,4,80,False
1048,2,2,1,2,2,9,9,9,8,911,2,9,3,1,932,2,2,2,2,4,2,99,6,9,1000,121,4,999,999,2,48,False
1049,1,3,4,2,1,9,9,9,6,999,9,9,9,99,999,9,9,9,9,5,2,99,6,9,1000,121,13,999,999,2,24,False
1050,2,2,1,2,2,9,9,9,8,911,2,9,3,1,741,2,2,3,3,4,1,99,1,9,1101,121,2,999,999,4,59,True
1051,1,3,3,2,2,9,9,9,7,931,2,1,2,99,999,9,9,9,1,5,3,99,6,9,1000,121,12,999,999,4,24,False
1052,2,1,1,2,2,9,9,9,7,999,9,2,9,7,996,9,1,4,1,2,0,99,1,9,1101,121,12,999,999,4,76,False
1053,1,2,1,2,2,9,9,9,1,931,4,2,2,8,999,9,9,9,3,5,0,99,9,9,8300,121,2,999,999,4,38,True
1055,2,4,1,2,2,9,9,9,8,999,9,9,9,1,721,2,2,2,3,7,3,99,4,9,1101,121,2,999,999,4,35,False
1056,1,6,4,2,2,9,9,9,1,332,4,2,3,99,999,9,9,9,5,4,0,99,6,9,1000,121,12,999,999,4,29,True
1057,2,1,1,2,2,9,9,9,8,522,1,9,3,1,931,2,2,2,9,2,0,99,6,9,1000,121,2,999,999,4,63,True
1058,2,97,7,2,2,9,9,9,1,216,4,2,3,99,999,9,9,9,1,4,1,99,6,9,1101,121,7,999,999,4,56,True
1059,1,2,4,2,2,9,9,9,1,522,1,2,3,99,999,9,9,9,2,4,1,99,9,9,8300,121,2,999,999,2,37,True
1061,1,2,3,2,2,9,9,9,10,997,7,9,7,99,999,9,9,9,1,1,99,99,1,9,1101,121,4,999,999,2,79,False
1062,1,2,4,2,2,9,9,9,1,422,1,2,3,99,999,9,9,9,9,1,99,99,9,9,8300,121,2,999,999,4,47,True
1063,1,2,3,2,2,9,9,9,1,931,4,2,2,99,999,9,9,9,2,1,99,99,2,9,1101,121,2,999,999,4,66,True
1064,1,3,1,2,2,9,9,9,1,961,2,1,3,10,999,9,9,9,2,4,0,99,5,9,1000,121,3,999,999,4,67,True
1065,2,4,3,2,2,9,9,9,1,352,1,2,3,99,999,9,9,9,9,4,1,99,1,9,1101,121,1,999,999,4,46,True
1067,1,3,1,2,2,9,9,9,5,541,1,2,3,1,911,4,2,3,1,6,2,99,6,9,1000,121,2,999,999,4,61,True
1068,2,4,2,2,2,9,9,9,7,515,1,2,3,99,999,9,9,9,2,1,99,99,1,9,1101,121,2,999,999,4,79,True
1069,1,2,1,2,2,9,9,9,1,833,2,2,3,8,999,9,9,9,3,9,4,99,1,9,1101,121,2,999,999,4,70,True
1070,2,2,4,2,2,9,9,9,1,911,2,2,3,99,999,9,9,9,1,2,1,99,9,9,8300,121,10,999,999,4,39,True
1071,2,2,3,2,2,9,9,9,7,999,9,8,9,99,999,9,9,9,1,5,3,99,2,9,1101,121,2,999,999,4,47,True
1072,2,2,1,1,2,9,9,9,8,999,9,9,9,1,521,1,2,3,1,10,6,99,4,9,1101,121,14,999,999,4,62,True
1073,1,3,1,2,2,9,9,9,1,142,4,2,3,1,911,2,2,3,3,2,0,99,2,9,1101,121,2,999,999,4,67,True
1074,2,6,4,2,2,9,9,9,6,235,1,9,3,99,999,9,9,9,4,4,0,99,2,9,1101,121,14,999,999,4,31,True
1075,2,2,1,2,2,9,9,9,8,999,9,9,9,1,996,9,1,4,9,2,0,99,2,9,1101,121,2,999,999,4,61,True
1076,2,4,3,2,2,9,9,9,1,522,1,2,3,99,999,9,9,9,5,2,0,99,3,9,1000,121,13,999,999,2,56,True
1077,2,4,3,2,2,9,9,9,10,999,9,9,9,99,999,9,9,9,1,2,1,99,2,9,1101,121,8,999,999,4,49,True
1078,2,5,3,2,2,9,9,9,1,334,1,2,3,99,999,9,9,9,4,2,1,99,2,9,1101,121,1,999,999,4,43,True
1079,2,7,1,2,2,9,9,9,5,263,4,2,3,1,997,7,2,7,9,2,0,99,9,9,8300,121,4,999,999,4,30,True
1080,2,3,1,2,1,9,9,9,8,999,9,9,9,1,833,2,2,3,9,5,0,99,2,9,1101,121,2,999,999,4,30,True
1084,2,5,4,2,2,9,9,9,1,342,4,2,3,99,999,9,9,9,9,3,0,99,1,9,9600,121,1,999,999,4,31,False
1085,2,4,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,1,6,2,99,6,9,1000,121,12,999,999,4,56,True
1086,2,1,1,2,2,9,9,9,8,999,9,9,9,1,931,2,2,2,2,2,0,99,3,9,1000,121,2,999,999,4,67,True
1087,2,4,3,2,2,9,9,9,1,911,2,2,3,99,999,9,9,9,3,3,0,99,1,9,1101,121,8,999,999,4,53,True
1088,1,5,4,2,2,9,9,9,10,999,9,9,9,99,999,9,9,9,4,3,0,99,2,9,1101,121,2,999,999,4,36,True
1089,1,3,1,2,2,9,9,9,1,216,4,2,3,1,521,1,2,3,3,5,2,99,1,9,1101,121,4,999,999,2,61,True
1091,1,3,4,2,1,9,9,9,1,512,1,2,3,99,999,9,9,9,3,1,99,99,2,9,1101,121,2,999,999,4,41,False
1092,2,4,3,2,2,9,9,9,1,514,1,2,3,99,999,9,9,9,3,4,3,99,3,9,1101,121,1,999,999,4,43,True
1093,2,6,1,2,2,9,9,9,8,321,1,9,3,1,522,1,2,3,9,6,2,99,9,9,8300,121,2,999,999,4,64,True
1094,2,2,1,1,2,9,9,9,8,999,9,9,9,1,812,2,2,2,3,4,2,99,6,9,1000,121,2,999,999,4,43,True
1095,1,2,3,2,2,9,9,9,7,833,2,2,3,99,999,9,9,9,4,1,0,99,5,9,1000,121,10,999,999,4,81,True
1096,1,2,4,2,2,9,9,9,1,931,2,1,2,99,999,9,9,9,9,6,3,99,1,9,1101,121,1,999,999,4,25,False
1097,1,4,1,2,2,9,9,9,1,996,9,2,4,8,999,9,9,9,4,6,0,99,6,9,1101,121,9,999,999,4,67,True
1098,1,4,1,2,2,9,9,9,7,235,1,1,3,7,235,1,1,3,5,2,0,99,2,9,1101,121,14,999,999,4,66,True
1099,1,6,1,2,2,9,9,9,1,235,1,1,3,1,235,1,1,3,5,6,1,99,4,9,1101,121,13,999,999,2,56,True
1100,1,2,1,2,2,9,9,9,1,931,2,2,2,8,999,9,9,9,1,3,1,99,2,9,1101,121,4,999,999,2,39,True
1101,2,3,1,2,2,9,9,9,5,911,4,2,3,1,931,2,2,2,1,5,2,99,4,9,1101,121,2,999,999,4,49,True
1103,1,2,1,2,2,9,9,9,1,622,2,2,1,1,622,2,2,1,3,4,2,99,9,9,8300,121,2,999,999,4,44,True
1104,2,6,1,1,1,9,9,9,1,522,4,2,3,1,522,4,2,3,5,2,0,99,1,9,1101,121,2,999,999,4,61,True
1105,2,1,1,2,2,9,9,9,7,911,2,2,3,7,142,1,2,3,4,2,0,99,5,9,1101,121,1,999,999,4,74,True
1106,1,2,4,2,2,9,9,9,1,723,4,2,2,99,999,9,9,9,1,1,99,99,1,9,1101,121,2,999,999,4,74,True
1107,1,3,1,2,8,9,9,9,1,933,2,2,9,8,999,9,9,9,4,4,2,99,3,9,1101,121,4,999,999,2,45,True
1108,1,1,1,2,2,9,9,9,1,732,4,2,2,8,999,9,9,9,4,5,0,99,1,9,1101,121,2,999,999,4,72,False
1109,2,2,1,2,2,9,9,9,1,911,4,2,3,1,931,4,2,2,5,5,3,99,1,9,1000,121,12,999,999,4,49,True
1110,1,2,1,2,2,9,9,9,1,931,4,2,2,8,999,9,9,9,1,4,2,99,4,9,1101,121,8,999,999,4,44,True
1112,1,4,4,2,2,9,9,9,1,832,2,2,3,99,999,9,9,9,9,4,2,99,9,9,8300,121,2,999,999,4,35,True
1113,1,6,3,1,2,9,9,9,1,962,4,2,3,99,999,9,9,9,9,3,0,99,6,9,1101,121,2,999,999,4,60,True
1114,2,3,1,2,2,9,9,9,8,999,9,9,9,1,933,2,2,9,2,3,1,99,1,9,1101,121,2,999,999,4,27,False
1116,2,2,3,2,2,9,9,9,1,911,4,2,3,99,999,9,9,9,9,1,99,99,1,9,1101,121,1,999,999,4,44,True
1117,2,4,1,2,2,9,9,9,8,999,9,9,9,1,814,4,2,2,9,5,3,99,2,9,1101,121,14,999,999,4,42,True
1119,2,2,1,2,2,9,9,9,8,753,2,9,2,1,962,2,2,3,1,5,3,99,6,9,1101,121,13,999,999,2,49,True
1120,2,2,1,2,1,9,9,9,8,999,9,9,9,1,931,2,2,2,1,3,1,99,9,9,8300,121,13,999,999,2,24,False
1121,1,2,4,2,2,9,9,9,5,931,4,2,2,99,999,9,9,9,9,8,3,99,1,9,1101,121,2,999,999,4,58,True
1122,2,4,1,2,2,9,9,9,8,999,9,9,9,1,932,2,2,2,9,6,4,99,5,9,1101,121,2,999,999,4,31,True
1123,1,2,4,2,2,9,9,9,1,342,4,2,3,99,999,9,9,9,3,6,2,99,1,9,9600,121,12,999,999,4,42,False
1126,1,6,2,2,1,9,9,9,1,931,4,2,2,99,999,9,9,9,5,2,0,99,5,9,1000,121,10,999,999,4,66,True
1127,1,2,1,2,2,9,9,9,1,713,4,2,2,1,911,2,2,3,3,4,1,99,1,9,1101,121,2,999,999,4,58,True
1128,2,3,3,2,2,9,9,9,5,911,2,7,3,99,999,9,9,9,1,4,3,99,5,9,1000,121,11,999,999,2,44,True
1129,1,4,4,2,2,9,9,9,5,521,4,2,3,99,999,9,9,9,1,5,1,99,6,9,1000,121,8,999,999,4,27,False
1130,2,4,1,2,2,9,9,9,8,911,2,9,3,1,816,2,2,2,2,4,2,99,4,9,1000,121,2,999,999,4,32,True
1131,2,3,1,2,2,9,9,9,1,713,2,2,2,1,833,2,2,3,3,3,0,99,1,9,1101,121,1,999,999,4,74,True
1132,2,7,3,2,2,9,9,9,1,263,4,2,3,99,999,9,9,9,9,3,0,99,9,9,8300,121,1,999,999,4,56,True
1133,2,1,4,2,2,9,9,9,7,999,9,2,9,99,999,9,9,9,2,1,99,99,5,9,1101,121,14,999,999,4,66,True
1134,1,4,4,2,2,9,9,9,5,235,4,2,3,99,999,9,9,9,9,2,0,99,1,9,1101,121,3,999,999,4,27,True
1135,1,2,4,2,8,9,9,9,1,521,4,2,3,99,999,9,9,9,9,4,0,99,2,9,1101,121,2,999,999,4,47,True
1137,1,2,4,2,2,9,9,9,7,999,9,8,9,99,999,9,9,9,3,2,0,99,1,9,1000,121,10,999,999,4,42,False
1139,1,3,4,2,2,9,9,9,1,931,4,2,2,99,999,9,9,9,9,4,0,99,5,9,1101,121,2,999,999,4,37,True
1141,1,1,1,2,2,9,9,9,1,931,2,2,2,8,999,9,9,9,1,97,2,99,2,9,1101,121,2,999,999,4,67,True
1142,2,2,7,2,2,9,9,9,7,911,4,2,3,99,999,9,9,9,1,6,2,99,6,9,1101,121,13,999,999,2,52,True
1143,2,6,3,2,2,9,9,9,1,235,1,2,3,99,999,9,9,9,4,2,3,99,2,9,9997,121,1,999,999,4,45,True
1145,2,3,1,2,2,9,9,9,1,996,9,2,4,1,522,1,2,3,4,4,2,99,1,9,1101,121,2,999,999,4,28,True
1147,2,4,1,2,2,9,9,9,1,235,1,1,3,1,235,1,1,3,9,3,1,99,4,9,1101,121,2,999,999,4,56,True
1148,2,2,3,2,2,9,9,9,1,522,4,2,3,99,999,9,9,9,3,2,0,99,4,9,1101,121,2,999,999,4,60,True
1149,2,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,1,4,0,99,4,9,1101,121,5,999,999,4,28,True
1151,1,3,1,2,2,9,9,9,1,996,9,2,4,8,999,9,9,9,2,4,1,99,5,9,1101,121,5,999,999,4,40,True
1152,2,3,1,2,2,9,9,9,1,522,1,2,3,1,141,1,2,3,3,5,2,99,3,9,1101,121,2,999,999,4,32,True
1153,2,2,2,2,2,9,9,9,7,997,7,2,7,99,999,9,9,9,1,1,99,99,4,9,1101,121,2,999,999,4,67,True
1154,1,4,4,1,1,9,9,9,1,523,1,2,3,99,999,9,9,9,2,4,0,99,3,9,1101,121,14,999,999,4,32,True
1155,1,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,5,1,99,6,9,1101,121,9,999,999,4,26,False
1158,1,3,4,2,2,9,9,9,5,931,2,2,2,99,999,9,9,9,4,6,97,99,4,9,1101,121,7,999,999,4,29,True
1159,2,5,1,2,2,9,9,9,8,999,9,9,9,1,334,1,2,3,5,4,2,99,9,9,8300,121,2,999,999,4,41,False
1160,1,3,4,2,2,9,9,9,5,996,9,2,4,99,999,9,9,9,1,5,2,99,1,9,1000,121,2,999,999,4,28,False
1161,1,4,4,2,2,9,9,9,1,752,2,2,2,99,999,9,9,9,9,4,1,99,1,9,1101,121,2,999,999,4,27,True
1162,2,2,1,2,2,9,9,9,8,999,9,9,9,1,931,2,2,2,3,4,1,99,3,9,1101,121,2,999,999,4,36,True
1163,2,3,1,2,2,9,9,9,8,999,9,9,9,1,961,4,2,3,1,6,4,99,1,9,1101,121,2,999,999,4,35,True
